SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1556.00,1570.00,1495.00,1507.45,1507.45,1554.40,1368,13070,19980526.00,
500003,AEGIS LOGIS ,A ,Q,271.05,274.00,260.75,263.80,262.05,270.65,328,10247,2762174.00,
500008,AMAR RAJA BA,A ,Q,820.65,831.05,811.00,814.65,811.00,826.65,1173,38167,31333856.00,
500009,A.SARABHAI  ,XT,Q,11.23,11.85,11.21,11.23,11.21,11.68,48,30405,347223.00,
500010,HDFC        ,A ,Q,1830.00,1841.95,1807.00,1816.10,1823.60,1830.00,1370,416945,758232543.00,
500012,ANDHRA PETRO,X ,Q,60.00,60.50,57.20,57.80,57.80,59.00,332,65634,3848220.00,
500013,ANSAL INFRAS,B ,Q,23.95,23.95,23.00,23.45,23.30,23.75,203,67271,1568298.00,
500014,APPLE FINANC,X ,Q,3.50,3.50,3.31,3.45,3.45,3.48,20,4046,13684.00,
500020,BOM DYEING  ,A ,Q,288.00,295.00,270.90,274.20,274.20,281.30,15173,1606168,454026918.00,
500023,ASIANHOTNR  ,T ,Q,268.00,279.90,267.05,270.55,271.10,274.20,11,1458,398096.00,
500024,ASSAMCO     ,B ,Q,4.95,5.13,4.86,4.98,5.07,5.11,273,276966,1363182.00,
500027,ATUL LTD.   ,A ,Q,2740.70,2740.70,2652.35,2697.95,2713.00,2702.55,173,804,2172969.00,
500028,ATV PROJECTS,XT,Q,11.00,11.84,11.00,11.50,11.50,11.35,38,19838,225568.00,
500029,AUTOLITE(I) ,B ,Q,81.40,81.40,75.00,76.20,76.20,80.35,170,25124,1961960.00,
500031,BAJAJ ELECT.,A ,Q,512.00,512.00,491.00,505.00,503.75,498.75,863,35542,17784522.00,
500032,BAJAJHIND   ,A ,Q,13.31,13.56,13.15,13.23,13.19,13.41,609,708120,9390826.00,
500033,FORCE MOTR  ,B ,Q,2940.00,2985.00,2900.00,2904.50,2904.50,2938.65,2462,20329,59385950.00,
500034,BAJFINANCE  ,A ,Q,1687.10,1703.75,1666.85,1672.85,1672.85,1677.55,2156,38352,64640859.00,
500038,BALRAM.CHINI,A ,Q,121.10,121.35,116.10,116.65,116.65,120.40,1164,180274,21370673.00,
500039,BANCO PROD. ,B ,Q,231.00,234.00,224.00,226.90,226.50,228.30,426,16794,3856190.00,
500040,CENTURY TEXT,A ,Q,1259.70,1264.95,1184.35,1195.20,1195.20,1252.90,2495,90695,110116771.00,
500041,BANNARI AMAN,B ,Q,1743.00,1790.00,1725.10,1785.00,1785.00,1790.80,16,222,391966.00,
500042,BASF INDIA  ,B ,Q,2021.05,2117.00,1975.00,1996.45,1993.90,2077.70,429,2533,5147379.00,
500043,BATA INDIA  ,A ,Q,724.00,727.20,695.00,700.65,700.65,718.95,965,31823,22655168.00,
500048,BEML LTD    ,A ,Q,1310.00,1349.90,1246.00,1263.15,1263.15,1305.10,1561,41795,53622672.00,
500049,BHARAT ELECT,A ,Q,157.55,158.25,153.70,155.40,155.40,157.05,1603,222964,34654246.00,
500052,BHANSALI ENG,B ,Q,174.50,176.95,168.25,171.50,171.50,172.95,1071,148967,25501156.00,
500055,BHUSH STEEL ,B ,Q,47.10,48.30,44.40,44.90,44.90,46.50,2254,518653,23755772.00,
500058,BIHAR SPONGE,XT,Q,3.19,3.32,3.04,3.29,3.29,3.19,42,14480,46114.00,
500059,BINANI IND. ,B ,Q,113.45,113.45,105.40,106.70,106.50,109.90,210,20821,2249906.00,
500060,BIRLACABLE  ,B ,Q,65.00,65.00,63.25,64.35,64.35,66.50,66,5704,365120.00,
500067,BLUE STAR   ,A ,Q,736.00,746.00,725.10,728.05,729.00,743.00,114,2735,2001666.00,
500068,DISA INDIA  ,X ,Q,6084.00,6200.00,5800.00,6020.25,6024.00,6201.75,43,227,1385324.00,
500069,BNK CAPITAL ,X ,Q,119.00,119.00,113.00,114.15,114.15,114.10,12,420,47989.00,
500074,BPL LTD.    ,B ,Q,96.30,98.90,93.00,94.60,95.00,97.30,846,103377,9918772.00,
500078,CAMPH.& ALL ,X ,Q,1042.00,1070.50,1039.90,1061.75,1070.00,1094.05,81,1366,1447453.00,
500083,CENTURY EXT ,B ,Q,7.30,7.48,7.09,7.09,7.09,7.46,101,73206,522196.00,
500084,CESC LTD.   ,A ,Q,1010.00,1016.75,989.50,1002.45,1003.70,1005.70,1080,21093,21133120.00,
500085,CHAMBAL FERT,A ,Q,159.30,159.30,154.00,155.55,155.55,158.15,908,35473,5540547.00,
500086,EXIDE IND.  ,A ,Q,214.50,215.60,210.20,211.10,211.10,213.95,614,70070,14893502.00,
500087,CIPLA LTD.  ,A ,Q,612.80,613.50,605.35,609.95,609.95,606.85,1066,70291,42834994.00,
500089,DIC INDIA   ,B ,Q,519.50,535.05,501.10,523.85,525.00,518.10,80,2039,1062783.00,
500092,CRISIL LTD  ,A ,Q,2006.50,2010.65,1974.00,2000.60,1998.00,1996.10,153,1144,2284236.00,
500093,CGPOWER     ,A ,Q,89.10,89.20,84.00,84.70,84.70,87.55,657,179433,15377739.00,
500096,DABUR (I)   ,A ,Q,340.90,344.50,340.70,342.05,341.45,339.55,1103,52914,18139578.00,
500097,DALMIASUG   ,B ,Q,108.00,108.25,105.05,105.65,106.00,106.75,267,22359,2386027.00,
500101,ARVIND Ltd  ,A ,Q,402.30,404.15,385.00,386.65,386.65,397.50,964,72212,28227260.00,
500102,BALARPUR IND,B ,Q,14.00,14.20,13.65,13.75,13.75,13.90,275,183402,2534718.00,
500103,BHEL        ,A ,Q,95.55,96.35,93.95,94.30,94.30,94.70,2664,616695,58541519.00,
500104,HIND.PETRO  ,A ,Q,393.80,394.00,386.05,386.85,386.85,391.10,1420,99398,38657335.00,
500106,IFCI LTD    ,A ,Q,23.15,23.75,22.95,23.15,23.15,23.35,1410,650699,15165217.00,
500108,MAHA.TELE   ,B ,Q,22.60,23.10,22.15,22.30,22.30,22.60,723,363228,8203882.00,
500109,MRPL        ,A ,Q,119.55,119.95,116.90,117.60,117.60,118.90,571,76712,9031811.00,
500110,CHENNAI PET.,A ,Q,380.85,380.85,365.75,368.30,368.30,378.90,779,36107,13395438.00,
500111,REL.CAP.    ,A ,Q,487.35,495.50,476.70,482.50,482.50,484.60,7707,604012,292884612.00,
500112,STATE BANK  ,A ,Q,280.05,281.20,270.00,271.75,271.75,278.85,16314,3887817,1063610994.00,
500113,STEEL AUTH. ,A ,Q,93.00,93.80,87.55,88.35,88.35,92.40,3713,1775338,159711511.00,
500114,TITAN       ,A ,Q,810.00,825.50,796.20,802.60,804.90,816.10,1305,56453,45895380.00,
500116,IDBI BANK L ,A ,Q,64.05,64.70,60.45,61.75,61.75,63.50,2817,952535,59461614.00,
500117,DCW LTD.    ,B ,Q,37.20,37.65,36.50,37.10,37.10,36.95,403,124635,4601149.00,
500119,DHAMPUR SUGA,B ,Q,207.10,216.60,207.10,214.20,214.20,205.05,1381,119396,25436740.00,
500120,DIAMINES&CHM,X ,Q,110.55,112.00,106.60,108.00,108.00,110.65,125,13945,1518113.00,
500123,ELANTAS     ,B ,Q,2084.05,2144.00,2042.00,2058.20,2042.00,2118.75,114,558,1158757.00,
500124,DR.REDDY'S  ,A ,Q,2218.00,2238.00,2195.00,2212.75,2212.75,2194.45,2550,54369,120816404.00,
500125,E.I.D.PAR   ,A ,Q,326.75,326.75,317.15,319.70,319.70,324.75,191,8148,2613408.00,
500126,MERCK LTD   ,B ,Q,1495.00,1505.35,1425.00,1449.65,1450.00,1492.50,227,2025,2934535.00,
500128,ELEC.CASTING,B ,Q,34.95,35.25,32.20,32.45,32.60,34.50,448,101972,3400812.00,
500132,EMPEE SUGARS,X ,Q,4.71,4.71,4.42,4.45,4.42,4.64,33,12733,56756.00,
500133,ESAB INDIA  ,B ,Q,819.95,822.95,802.10,812.15,822.95,827.95,26,266,216355.00,
500135,ESSEL PROP  ,B ,Q,287.65,293.00,283.00,288.75,285.80,280.95,319,25531,7444253.00,
500136,ESTER INDUS.,B ,Q,63.50,64.00,60.80,63.00,63.00,63.15,534,76932,4791714.00,
500139,FEDDERELEC  ,B ,Q,69.75,70.20,68.05,68.40,68.40,69.50,127,18571,1277611.00,
500141,FERRO ALLOYS,X ,Q,11.35,11.84,10.85,11.12,11.12,11.28,362,249150,2802919.00,
500143,P.H.CAPITAL ,XT,Q,32.75,32.75,32.75,32.75,32.75,31.20,2,10,327.00,
500144,FINOL. CABLE,A ,Q,712.35,722.00,700.00,708.15,708.15,713.45,221,2862,2042805.00,
500147,CMI FPE     ,X ,Q,930.00,960.00,918.00,924.85,924.85,938.20,203,4879,4575021.00,
500148,UFLEX LTD   ,A ,Q,376.90,382.45,365.00,367.10,367.10,374.45,501,16838,6231091.00,
500150,FOSECO INDIA,B ,Q,1744.00,1750.00,1664.00,1676.00,1667.00,1739.25,66,279,476369.00,
500153,GANESH BENZO,X ,Q,86.00,86.00,80.50,81.25,81.25,83.85,563,60381,4960296.00,
500155,GARDEN SILK ,B ,Q,42.90,43.10,40.20,40.65,40.35,42.90,193,23505,975634.00,
500159,METROGLOBL  ,X ,Q,90.00,90.00,85.00,86.55,86.55,88.95,24,1121,97040.00,
500160,GTL LTD.    ,B ,Q,13.94,13.94,13.41,13.53,13.42,13.75,58,32832,442957.00,
500163,GODFREY PH  ,A ,Q,898.85,900.00,870.55,877.15,877.15,888.30,380,10655,9436824.00,
500164,GODREJ IND  ,A ,Q,541.50,546.35,536.00,541.00,541.00,542.30,221,6236,3379051.00,
500165,KANSAI NERO ,A ,Q,502.05,502.05,484.00,487.30,485.00,502.45,600,8961,4404266.00,
500166,GOODRICKE   ,X ,Q,405.50,411.95,389.00,398.40,398.40,405.40,411,11713,4667488.00,
500168,GOODYEAR (I),B ,Q,1188.90,1189.00,1159.30,1170.15,1170.15,1170.90,1270,16104,18768439.00,
500170,GTN INDUS   ,B ,Q,23.00,24.10,21.95,22.30,22.25,21.95,405,71907,1672520.00,
500171,GHCL LTD    ,A ,Q,304.95,308.90,294.95,297.60,297.60,305.00,1035,73851,22419970.00,
500173,GUJ.FLOURO  ,B ,Q,806.90,809.65,779.10,795.10,795.10,805.40,271,2793,2206820.00,
500179,HCL INFOSYS ,A ,Q,66.00,67.60,62.25,63.45,63.45,65.40,5403,1168031,75623992.00,
500180,HDFC BANK   ,A ,Q,1884.00,1894.00,1876.05,1879.75,1881.50,1881.25,1553,39662,74696913.00,
500182,HEROMOTOCO  ,A ,Q,3533.05,3557.85,3480.00,3493.10,3494.90,3533.15,982,10270,36118145.00,
500183,HIMACHAL FUT,A ,Q,28.95,29.60,28.05,28.45,28.45,28.90,1966,1232623,35239509.00,
500184,HSCL        ,B ,Q,167.25,170.35,161.60,164.45,164.45,168.45,1904,252069,41531790.00,
500185,HIND.CONSTN.,A ,Q,35.15,35.45,34.40,34.65,34.65,34.85,1259,586952,20424285.00,
500186,HIND.OIL EXP,B ,Q,122.00,124.40,120.00,120.50,120.50,121.10,1214,177553,21598409.00,
500187,HSIL        ,B ,Q,440.10,440.55,422.55,427.60,428.50,433.40,137,2965,1277092.00,
500188,HINDUS.ZI   ,A ,Q,315.05,317.90,310.50,312.30,312.30,313.35,2116,100367,31390200.00,
500189,HINDUJA VENT,B ,Q,837.00,837.00,827.00,828.90,829.25,834.35,87,1534,1273982.00,
500191,HMT LTD.    ,Z ,Q,34.20,35.45,34.00,34.10,34.10,34.75,21,3178,108946.00,
500192,PRAG BOSIMI ,XT,Q,3.10,3.41,3.10,3.30,3.30,3.25,17,19256,62696.00,
500193,HOTEL LEELA.,B ,Q,21.50,21.65,20.50,20.70,20.70,21.30,408,145380,3053951.00,
500199,I.G.PETRO   ,B ,Q,737.80,747.60,709.90,714.35,715.15,737.15,424,12350,8931729.00,
500201,IND.GLYCOLS ,B ,Q,538.70,545.80,513.50,520.20,520.20,531.05,1611,77209,40660997.00,
500206,MARGO FIN   ,XT,Q,15.70,16.25,15.70,15.75,15.75,15.50,7,1111,17629.00,
500207,INDO RAMA   ,B ,Q,38.10,38.10,35.50,35.75,35.85,38.25,202,26997,976304.00,
500209,INFOSYS LTD ,A ,Q,1121.00,1140.00,1116.05,1124.85,1124.85,1114.15,6975,563385,633319485.00,
500210,INGERSOLL   ,B ,Q,759.80,770.90,752.10,759.95,764.75,751.85,214,14538,11081712.00,
500211,INSILCO LTD.,X ,Q,26.00,27.35,25.30,26.25,26.70,26.55,56,10626,273873.00,
500213,INTER.TRAVEL,X ,Q,192.05,197.00,189.95,193.00,194.90,194.85,140,7758,1492731.00,
500214,ION EXCHANGE,XT,Q,503.00,518.00,485.10,495.65,495.40,508.30,288,5749,2865560.00,
500215,AGRO TECH FO,B ,Q,642.25,646.95,631.00,639.25,646.65,650.85,106,1279,813799.00,
500219,JAIN IRRIG  ,A ,Q,120.75,122.20,117.30,119.05,119.05,119.90,2861,771055,92255628.00,
500220,JASCH INDUST,X ,Q,75.20,76.00,71.25,75.10,76.00,75.45,35,5270,393894.00,
500223,JCT LTD     ,X ,Q,3.56,3.70,3.45,3.51,3.54,3.57,265,386769,1380004.00,
500227,JINDAL POLYF,B ,Q,361.00,368.35,350.55,351.90,351.90,361.70,335,11246,4005846.00,
500228,JSWSL       ,A ,Q,310.00,312.95,305.90,311.70,311.70,307.50,2025,245178,75960312.00,
500231,UMANG DAIR  ,B ,Q,98.10,98.40,92.90,93.40,95.10,97.35,273,21911,2071753.00,
500233,KAJARIA CER.,A ,Q,596.00,600.80,591.85,593.15,592.00,593.05,383,14717,8759099.00,
500234,KAKATIYA CEM,B ,Q,306.10,306.10,297.00,298.05,297.50,300.40,174,5622,1695068.00,
500235,KALYANI STEL,B ,Q,328.25,331.55,317.10,321.05,322.95,326.55,588,20462,6607820.00,
500238,WHIRLPOOL   ,A ,Q,1450.00,1471.00,1419.75,1438.65,1432.25,1435.90,271,6549,9377361.00,
500239,KG DENIM    ,X ,Q,60.95,61.20,60.00,60.10,60.10,60.85,39,51399,3092557.00,
500240,KINETIC ENG.,ST,Q,78.00,82.20,78.00,80.60,79.50,80.70,26,2124,168860.00,
500241,KIRL.BROS.  ,B ,Q,359.95,362.40,337.75,339.60,339.60,360.70,419,12123,4178327.00,
500243,KIRL INDUS  ,B ,Q,1216.00,1324.95,1216.00,1265.00,1265.00,1280.00,12,34,43238.00,
500245,KIRL.FERROUS,B ,Q,92.40,93.00,88.50,89.25,89.25,90.80,1179,163930,14725389.00,
500247,KOTAK MAH.BK,A ,Q,1059.00,1061.85,1042.05,1051.75,1052.80,1040.90,1708,68847,72564126.00,
500248,MAVI IND    ,XT,Q,8.50,8.50,8.50,8.50,8.50,8.92,1,100,850.00,
500249,KSB PUMPS   ,B ,Q,814.20,820.00,796.25,799.60,796.25,807.15,55,700,564198.00,
500250,L.G.BALKRISH,B ,Q,1066.00,1073.50,1050.00,1060.25,1073.00,1051.55,278,2608,2758516.00,
500251,TRENT LTD.  ,A ,Q,319.10,326.25,316.00,319.95,321.70,318.60,357,13814,4412924.00,
500252,LAKSHMI MACH,A ,Q,5967.70,5967.70,5845.00,5860.85,5900.00,5883.55,115,360,2114734.00,
500253,LIC HOUS.FIN,A ,Q,528.00,531.95,518.00,520.60,520.60,528.45,1144,65320,34254387.00,
500254,UTTAMVALUE  ,B ,Q,0.25,0.26,0.24,0.25,0.24,0.25,541,6899613,1720723.00,
500255,LML LTD.    ,B ,Q,9.18,9.50,9.18,9.18,9.18,9.66,90,74489,684267.00,
500257,LUPIN LTD.  ,A ,Q,824.00,830.10,822.00,824.40,824.00,822.15,1997,126944,104890330.00,
500259,LYKA LABS   ,B ,Q,60.00,60.00,57.30,58.40,58.40,59.20,136,11186,654943.00,
500260,RAMCOCEM    ,A ,Q,743.70,755.00,721.65,723.40,727.60,737.45,222,3290,2419069.00,
500264,MAFATLAL IND,X ,Q,297.60,304.70,295.00,295.15,295.15,301.50,23,669,197894.00,
500265,MAH.SEAMLESS,B ,Q,485.00,487.50,472.60,476.30,478.00,480.00,662,23117,11118509.00,
500266,MAH.SCOOTER ,B ,Q,2447.60,2450.00,2413.10,2439.55,2450.00,2418.75,44,293,712713.00,
500267,MAJESTIC AUT,XT,Q,183.00,183.00,168.10,173.05,173.00,176.50,38,7269,1258938.00,
500268,MANALI PETRO,B ,Q,38.25,38.55,36.85,37.30,37.30,37.80,508,111876,4214020.00,
500271,MFSL        ,A ,Q,518.75,521.90,486.10,501.10,501.10,517.75,1296,238670,118923335.00,
500279,MIRC ELECT  ,B ,Q,50.55,52.50,49.40,51.15,51.15,49.90,1307,243627,12433306.00,
500280,CENTURY ENKA,B ,Q,358.00,358.25,340.50,344.90,344.90,357.15,450,13560,4712572.00,
500284,LORDS CHLORO,XT,Q,66.00,66.00,59.90,59.90,59.90,63.05,18,1427,86001.00,
500285,SPICEJET LTD,B ,Q,140.90,143.40,140.00,141.45,141.45,139.70,5484,1551364,219422984.00,
500288,MOREPEN LAB.,B ,Q,36.00,36.95,34.70,35.55,35.55,36.00,1372,481841,17291509.00,
500290,MRF LTD.    ,A ,Q,72350.00,72473.95,70723.25,71049.20,71049.20,71939.45,338,475,33951070.00,
500292,HEIDEL CEM  ,A ,Q,159.45,162.65,155.95,156.90,156.90,158.30,435,26823,4250510.00,
500294,NCC         ,A ,Q,125.00,128.05,123.30,124.85,124.85,123.40,4203,895109,112365874.00,
500295,VEDL        ,A ,Q,329.15,329.75,315.50,319.10,319.10,324.30,5590,662151,212532710.00,
500296,NAHAR SPG.  ,B ,Q,110.35,110.80,107.10,107.35,107.35,109.20,64,7523,819450.00,
500298,NAT.PEROXIDE,X ,Q,2344.00,2388.00,2250.00,2269.25,2269.25,2327.90,421,3359,7679653.00,
500300,GRASIM IND. ,A ,Q,1107.15,1115.00,1090.20,1098.20,1098.20,1106.05,931,29123,32138679.00,
500302,PEL         ,A ,Q,2727.00,2727.00,2610.55,2628.00,2628.00,2715.40,701,8385,22279554.00,
500304,NIIT LTD.   ,A ,Q,96.90,97.30,92.70,93.20,93.20,96.00,640,49387,4697692.00,
500306,JAYKAY      ,SS,Q,8.60,8.60,8.10,8.10,8.10,8.62,5,1905,16200.00,
500307,NIRLON      ,B ,Q,207.75,209.75,207.60,207.60,207.60,207.40,15,1153,239395.00,
500312,ONGC CORPN  ,A ,Q,187.00,189.20,186.00,186.60,186.60,188.40,1394,224353,42133652.00,
500313,OIL COUNTRY ,B ,Q,44.50,44.50,42.45,43.00,43.00,43.90,49,3191,138079.00,
500314,ORIENT HOTEL,B ,Q,54.00,54.70,50.70,51.45,51.50,54.05,319,53154,2763565.00,
500315,ORINTAL BANK,A ,Q,104.00,106.75,102.95,105.25,105.25,104.55,2871,548148,57520757.00,
500317,OSWAL AGRO. ,T ,Q,13.70,14.00,13.60,13.60,13.60,13.76,37,8504,116558.00,
500319,INDIAN SUCRO,XT,Q,38.70,38.70,38.70,38.70,38.70,40.70,10,4263,164978.00,
500322,PANYAM CEMEN,X ,Q,52.90,52.90,49.00,50.10,49.40,51.20,130,64790,3199420.00,
500325,RELIANCE    ,A ,Q,937.35,942.00,918.65,921.70,921.70,934.05,4569,241125,224172327.00,
500327,PILITA      ,T ,Q,16.45,16.50,15.40,15.60,15.60,15.75,67,30975,501550.00,
500330,RAYMOND     ,A ,Q,974.00,977.50,918.80,930.70,930.70,962.15,983,89221,83396470.00,
500331,PIDILITE    ,A ,Q,888.80,893.75,880.00,889.40,889.40,888.35,879,19713,17473925.00,
500333,PIX TRANS   ,X ,Q,163.30,164.00,154.40,156.85,156.60,163.35,402,29280,4591413.00,
500335,BIRLA CORPN.,B ,Q,980.15,996.35,965.05,968.65,970.00,983.20,145,1860,1823509.00,
500336,SURYA ROSHNI,B ,Q,465.00,465.00,435.50,449.55,449.55,450.60,755,31968,14306019.00,
500337,PRIME SECUR.,B ,Q,50.80,51.25,46.80,47.30,47.90,50.70,181,20855,1018442.00,
500338,PRISM CEMENT,B ,Q,127.00,128.50,121.65,123.00,123.00,125.50,1499,128521,16109177.00,
500339,RAIN        ,A ,Q,381.80,383.60,360.65,364.25,364.25,376.75,4965,391256,143833069.00,
500343,AMJLAND     ,B ,Q,28.20,28.20,27.00,28.00,28.00,28.75,35,6812,188688.00,
500346,PUN.COMMUNI.,X ,Q,40.10,40.40,39.20,39.95,39.20,41.70,13,2106,84157.00,
500350,RSWM  LTD   ,B ,Q,345.55,349.05,331.25,346.50,346.50,348.90,129,7812,2644119.00,
500354,RAJSH.SUGAR ,B ,Q,39.55,39.55,38.30,38.35,38.30,39.40,16,1052,40863.00,
500355,RALLIS INDIA,A ,Q,234.90,234.90,225.55,228.15,226.00,228.55,692,46951,10709007.00,
500356,RAMANEWS    ,B ,Q,28.60,28.60,27.85,28.05,28.05,28.80,66,13925,390612.00,
500357,RAMA PAPER  ,X ,Q,10.42,10.45,10.26,10.26,10.26,10.80,5,1850,19211.00,
500358,RAMA PETRO  ,XT,Q,4.65,4.67,4.65,4.67,4.67,4.67,5,600,2796.00,
500360,RAPICUT CARB,X ,Q,76.25,79.00,73.30,73.75,73.75,76.70,80,10985,820602.00,
500366,ROLTA (I)   ,B ,Q,71.75,72.25,67.50,68.05,68.05,70.95,2949,492363,34084082.00,
500367,RUBFILA INT.,X ,Q,76.70,79.50,75.25,76.95,77.00,78.25,131,14431,1104958.00,
500368,RUCHI SOYA  ,B ,Q,16.70,16.80,16.10,16.25,16.25,16.50,266,82615,1348571.00,
500370,SALORA INT. ,B ,Q,45.15,47.45,45.15,47.45,47.45,47.00,8,3400,160050.00,
500372,SAMTEL COL  ,Z ,Q,0.83,0.83,0.83,0.83,0.83,0.87,9,27436,22771.00,
500378,JINDAL SAW  ,A ,Q,135.30,139.00,130.10,132.30,132.30,135.30,1356,230683,30707649.00,
500380,JK LAKSHMI  ,A ,Q,421.90,428.00,416.60,419.00,416.60,419.25,354,11696,4939775.00,
500387,SHREE CEMENT,A ,Q,17318.75,17590.00,16900.00,16969.50,16969.50,17314.75,191,387,6659149.00,
500388,SHREE KRISHN,XT,Q,32.05,32.05,32.05,32.05,32.05,30.55,5,2850,91342.00,
500390,REL INFRA   ,A ,Q,444.00,457.20,438.00,450.85,450.85,444.05,6201,491992,220267571.00,
500399,STEELCO GUJ.,X ,Q,9.88,9.88,8.50,8.50,8.50,8.93,24,4064,35423.00,
500400,TATA POWER  ,A ,Q,86.30,87.30,85.80,86.55,86.55,86.30,1535,299017,25869623.00,
500402,SPMLINFRA   ,B ,Q,121.00,122.50,117.00,118.80,119.50,122.25,59,1848,220606.00,
500403,SUNDARAM FAS,A ,Q,527.00,554.00,527.00,543.30,543.95,532.70,1035,20406,11063576.00,
500404,SUNFLAG IRON,B ,Q,84.90,88.75,84.80,87.85,87.85,84.25,2116,356618,30903158.00,
500405,SUPREME PET ,B ,Q,354.10,354.40,337.00,344.00,345.20,353.75,239,9545,3281198.00,
500407,SWARAJ ENGIN,B ,Q,1916.90,1932.00,1900.00,1900.80,1900.00,1932.65,66,918,1754452.00,
500408,TATA ELXSI  ,A ,Q,1010.00,1030.00,995.95,1000.30,1004.25,1012.95,897,30350,30664357.00,
500410,ACC LTD     ,A ,Q,1630.00,1665.00,1630.00,1653.45,1648.20,1621.10,990,19010,31377256.00,
500411,THERMAX     ,A ,Q,1170.05,1184.00,1142.55,1154.05,1155.00,1172.35,215,1232,1428580.00,
500412,THIRUMALAI  ,B ,Q,2177.05,2182.30,2036.10,2049.55,2049.55,2136.65,1158,19755,41174066.00,
500413,THOMAS COOK ,B ,Q,239.00,239.00,228.70,230.35,230.35,236.15,448,21346,4945894.00,
500414,TIMEX GROUP ,XT,Q,52.65,52.95,52.00,52.10,52.95,53.00,62,18563,969924.00,
500418,TOKYO PLAST ,B ,Q,113.10,113.10,108.75,109.95,109.95,114.10,80,2290,252614.00,
500420,TORRENT PHAR,A ,Q,1436.00,1449.35,1402.05,1415.30,1406.00,1417.50,1565,503340,717311972.00,
500422,TRANSCHEM   ,X ,Q,40.70,40.70,36.00,36.00,36.00,38.25,65,10016,382021.00,
500425,AMBUJA CEME ,A ,Q,253.50,261.60,253.00,257.25,257.25,253.40,2555,351071,90479835.00,
500429,UNIPHOS ENT.,B ,Q,89.00,91.85,86.00,86.15,86.10,88.70,19,6452,558326.00,
500439,VARD HOLDNG ,B ,Q,4799.00,4799.00,4651.00,4708.00,4730.00,4738.85,79,160,757036.00,
500440,HINDALCO    ,A ,Q,255.00,256.70,246.40,247.40,247.40,251.35,4757,558918,140368767.00,
500444,WEST COAS PA,B ,Q,270.15,277.00,265.30,272.55,277.00,271.50,250,12194,3282375.00,
500449,HIND.ORG.CHM,B ,Q,25.50,25.95,24.60,24.75,24.90,25.70,163,34422,860630.00,
500450,MPIL CORP L ,X ,Q,174.80,193.15,174.80,193.15,193.15,184.00,6,55,10585.00,
500456,PAS.ACRYLON ,X ,Q,30.35,30.35,28.20,28.80,28.80,29.50,488,273307,7909726.00,
500459,PROCTER &GAM,A ,Q,9290.05,9383.00,9273.05,9317.25,9383.00,9286.40,102,350,3260918.00,
500460,MUKAND LTD. ,B ,Q,79.95,79.95,74.00,76.05,76.05,79.00,364,62340,4797034.00,
500463,AGCNET      ,B ,Q,135.00,135.10,126.10,126.20,126.20,128.70,81,3953,510628.00,
500464,UCAL FUEL   ,B ,Q,271.40,273.50,260.65,262.90,262.50,269.70,376,14647,3895488.00,
500467,HARR.MALAYAL,B ,Q,88.00,88.00,83.05,84.35,84.30,86.85,132,9006,766576.00,
500469,FEDERAL BANK,A ,Q,94.05,96.80,94.05,95.95,95.95,94.45,3150,11057070,1061816832.00,
500470,TATA STEEL  ,A ,Q,705.40,709.35,683.85,688.30,688.30,699.85,6883,447367,311255873.00,
500472,SKF INDIA   ,A ,Q,1853.10,1890.60,1829.95,1859.25,1859.25,1836.35,151,3313,6177917.00,
500477,ASHOK LEYL. ,A ,Q,138.00,138.95,133.50,134.00,134.00,137.30,4624,950579,128403847.00,
500480,CUMMINS (I) ,A ,Q,845.05,856.50,836.00,850.80,850.80,841.50,383,5976,5068688.00,
500483,TATA COMM   ,A ,Q,644.75,649.85,634.00,641.25,641.25,647.20,427,14209,9106524.00,
500488,ABBOTT (I)  ,B ,Q,5706.15,5706.15,5500.00,5538.65,5675.00,5633.45,138,411,2306985.00,
500490,BAJ HOLD INV,A ,Q,2742.45,2750.00,2728.40,2748.15,2742.00,2749.50,126,528,1446396.00,
500493,BHARAT FORGE,A ,Q,755.00,756.50,737.20,742.90,742.90,751.90,1416,51141,38090828.00,
500495,ESCORTS LTD.,A ,Q,884.80,886.00,864.15,876.20,876.20,874.50,1888,108357,94732878.00,
500500,HIND.MOTORS ,T ,Q,10.60,10.69,9.69,9.73,9.70,10.19,451,376719,3926410.00,
500510,LARSEN & TOU,A ,Q,1351.00,1363.65,1320.50,1327.95,1327.95,1350.15,3587,104844,140658046.00,
500520,MAH & MAH   ,A ,Q,750.55,752.50,741.00,743.75,743.00,750.55,1172,319149,238069401.00,
500530,BOSCH LTD   ,A ,Q,20099.00,20099.00,19500.05,19535.55,19535.55,19475.35,110,316,6189114.00,
500540,PREMIER LTD ,B ,Q,29.50,29.50,28.75,28.95,28.95,29.60,29,2886,83941.00,
500547,BHARAT PET. ,A ,Q,478.90,478.90,464.00,465.90,465.90,474.85,3396,239042,112271719.00,
500550,SIEMENS LTD.,A ,Q,1267.90,1279.30,1236.70,1264.20,1258.75,1258.55,257,4190,5277557.00,
500570,TATA MOTORS ,A ,Q,377.25,379.40,368.30,370.55,370.55,376.15,5247,500663,186246650.00,
500575,VOLTAS LTD  ,A ,Q,585.60,593.35,576.00,583.55,585.00,584.10,2092,65782,38347174.00,
