SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
521167,FRONT BUSS  ,X ,Q,11.18,11.18,10.26,10.59,10.59,10.79,31,32547,335020.00,
521180,SUPER SPIN. ,B ,Q,16.40,16.45,15.55,15.60,15.65,16.35,138,99834,1566368.00,
521182,SEASONS FUR.,X ,Q,5.87,6.02,5.87,6.02,6.02,6.17,4,300,1791.00,
521194,SIL INVEST  ,B ,Q,475.00,475.00,447.50,457.70,463.00,466.35,187,5216,2387172.00,
521200,SURYLAK.COTT,B ,Q,82.40,82.40,78.75,79.55,80.35,81.35,76,19421,1549284.00,
521206,SAMTEX FASH.,X ,Q,5.00,5.39,4.26,4.60,4.80,5.28,66,25553,123202.00,
521216,DHAN ROTO SP,XT,Q,45.00,46.30,45.00,46.30,46.30,44.10,10,993,45974.00,
521220,DAMOINDUS   ,B ,Q,148.90,153.70,139.95,142.55,142.55,145.45,332,17306,2478796.00,
521232,SUNIL INDUS.,P ,Q,29.80,32.60,29.50,31.65,32.60,31.05,10,2600,80780.00,
521240,SAMBANDAM SP,X ,Q,144.60,147.00,142.50,142.90,142.50,142.00,19,1963,282245.00,
521242,KANDAGIRI SP,X ,Q,38.50,38.90,36.15,38.25,38.90,39.00,14,268,9807.00,
521248,KITEX GARMEN,B ,Q,238.50,242.10,230.20,233.85,232.25,237.55,495,14566,3428463.00,
522001,CRANEX LTD. ,X ,Q,18.05,19.70,18.05,19.70,19.70,18.95,6,420,7663.00,
522004,BATLIBOI LTD,XT,Q,36.00,36.00,33.90,33.95,33.90,35.65,95,39647,1361502.00,
522005,AUSTIN ENGG.,XT,Q,92.50,102.20,92.50,92.50,92.50,97.35,93,29557,2742481.00,
522014,UNITED DRILL,Z ,Q,280.10,284.95,279.50,279.50,279.50,294.00,15,468,131570.00,
522017,FLUIDOMAT   ,X ,Q,189.85,189.85,183.05,186.40,185.05,183.00,25,800,148205.00,
522029,WINDSOR MACH,B ,Q,103.20,110.40,101.90,104.25,104.25,106.75,376,85021,8891659.00,
522034,SHANTHI GEAR,B ,Q,151.85,151.95,143.20,145.10,145.00,150.15,64,4240,618312.00,
522042,SM ENERGY   ,XT,Q,3.86,3.86,3.86,3.86,3.86,4.06,1,100,386.00,
522064,HONDA SIEL  ,B ,Q,1482.20,1503.70,1443.00,1448.30,1448.30,1502.60,204,1910,2798035.00,
522073,HITECHGEAR  ,B ,Q,450.15,456.85,437.55,440.40,440.65,449.50,132,3158,1399620.00,
522074,ELGI EQUIP  ,B ,Q,330.00,330.00,309.20,313.80,315.00,325.20,213,6439,2038159.00,
522085,STONE INDIA ,Z ,Q,29.35,29.35,29.35,29.35,29.35,29.35,53,8415,246980.00,
522101,KILBURN ENGG,X ,Q,85.15,86.00,83.50,84.05,84.00,86.35,87,10657,900354.00,
522105,BIRLA PRETEC,X ,Q,7.46,7.50,7.06,7.06,7.06,7.43,80,40697,289346.00,
522108,YUKEN INDIA ,X ,Q,4474.95,4474.95,4351.00,4388.25,4390.00,4413.85,424,10943,48291090.00,
522113,TIMKEN (I)  ,B ,Q,812.05,819.45,799.55,807.60,807.60,808.10,161,2489,2000391.00,
522122,VOITH PAPER ,XT,Q,865.00,885.00,823.10,832.85,823.10,865.00,58,1249,1051306.00,
522134,ARTSON ENG  ,X ,Q,92.00,92.60,86.00,87.70,88.00,92.50,221,24015,2132101.00,
522152,SOLITAIR MC ,X ,Q,64.10,70.00,64.10,66.75,66.10,67.50,30,3923,265103.00,
522163,DIAMONPOWER ,B ,Q,15.65,15.95,14.20,14.80,14.90,15.75,357,82366,1251185.00,
522165,INDSIL HYD  ,X ,Q,198.10,198.10,187.50,188.10,189.00,197.00,313,39477,7526487.00,
522183,ITL INDUSTRS,X ,Q,339.70,339.70,313.00,314.50,314.00,325.90,163,9184,2968464.00,
522195,FRONTIER SPR,X ,Q,180.20,195.00,180.20,186.90,186.00,180.20,259,14158,2665433.00,
522205,PRAJ IND.LTD,A ,Q,94.25,94.85,91.70,92.50,92.50,93.10,957,121281,11284067.00,
522207,RASANDIK ENG,XT,Q,208.95,208.95,199.45,199.45,199.45,209.90,15,555,111124.00,
522215,SWISS GLASS ,X ,Q,196.00,200.00,183.00,188.90,191.00,198.80,87,6103,1198562.00,
522217,GUJ APOIND  ,B ,Q,220.50,228.75,212.05,215.05,212.05,220.30,35,681,148557.00,
522229,TANEJA AERO.,X ,Q,59.95,59.95,56.10,58.10,58.90,58.80,189,30208,1746840.00,
522231,CONART ENG. ,X ,Q,47.15,47.40,45.10,45.65,45.75,45.85,34,2781,128528.00,
522241,M.M.FORGINGS,B ,Q,1024.45,1089.00,995.05,1077.85,1089.00,1049.10,59,1609,1714716.00,
522249,MAYUR UNIQ. ,B ,Q,515.00,517.00,505.00,507.45,513.50,512.50,187,1971,1000666.00,
522251,CENLUB INDUS,X ,Q,57.00,57.00,56.25,56.85,57.00,56.90,22,4406,250672.00,
522257,RAJOO ENGIN.,XT,Q,59.65,59.65,55.75,56.20,56.45,56.85,1276,418031,24429308.00,
522261,DOLPHIN OFF.,B ,Q,96.90,97.85,92.25,93.65,92.50,95.05,297,18668,1762476.00,
522263,JMC PROJECTS,B ,Q,603.00,611.15,575.00,595.75,598.00,598.60,390,6126,3620400.00,
522267,VEEJAY LAKSH,X ,Q,54.20,54.90,54.15,54.60,54.90,56.95,6,1360,74041.00,
522273,AHMED.STEEL ,XT,Q,26.50,26.50,26.50,26.50,26.50,26.60,1,488,12932.00,
522275,GET&D       ,A ,Q,408.65,422.15,402.00,418.45,418.45,406.65,329,14077,5776166.00,
522281,RAM RAT.WIRE,X ,Q,203.00,203.00,187.00,189.55,188.00,198.00,136,13136,2520514.00,
522285,JAY NECO IND,B ,Q,9.50,9.55,9.02,9.05,9.10,9.47,153,121723,1108967.00,
522287,KALPA.POWER ,B ,Q,482.00,488.00,457.10,467.70,467.70,473.55,614,103186,48554292.00,
522289,IFM IMPEX   ,XT,Q,5.91,5.91,5.35,5.91,5.91,5.63,4,351,2018.00,
522292,CHANDNI TE  ,X ,Q,36.10,36.90,35.60,36.90,36.90,36.35,7,1175,42295.00,
522294,T & I GLOBAL,X ,Q,83.00,84.50,80.10,81.00,82.90,82.20,76,6092,502271.00,
522295,CONTROL PRNT,B ,Q,451.55,455.75,439.50,451.25,451.25,447.05,113,4244,1906539.00,
522650,BEMCO HYDRAU,X ,Q,171.65,171.65,171.65,171.65,171.65,163.50,10,3000,514950.00,
523007,ANSAL BUILD.,X ,Q,94.00,94.00,85.00,85.10,85.00,90.75,192,14749,1288632.00,
523011,WEIZMANN LTD,B ,Q,48.00,48.85,47.50,48.65,48.65,50.00,24,2559,123123.00,
523019,B.N.RATHI SE,X ,Q,42.85,43.00,40.75,40.95,41.25,42.85,44,10487,434759.00,
523021,RISHITECH   ,X ,Q,69.75,69.95,67.70,69.35,69.50,69.45,27,1202,82898.00,
523023,SINCLAIR HOT,X ,Q,410.00,420.00,401.00,406.70,411.00,409.30,142,7155,2894301.00,
523025,SAFARI IND. ,X ,Q,536.00,549.75,531.00,536.65,540.00,547.60,43,723,388017.00,
523100,COSMO FERR. ,X ,Q,25.75,26.10,25.70,26.10,26.10,26.90,13,9963,257715.00,
523116,SANCO TRANS ,X ,Q,247.35,260.00,247.35,250.80,248.30,257.00,16,115,28733.00,
523127,EIH ASSO.HOT,B ,Q,443.00,459.50,430.00,436.10,435.00,446.50,41,287,130299.00,
523144,MEDI CAPS   ,X ,Q,25.80,26.50,25.70,25.75,25.75,26.75,58,14936,391269.00,
523151,OTCO INTERN.,XT,Q,56.25,56.25,56.25,56.25,56.25,56.25,5,370,20812.00,
523160,MORGAN CRU  ,XT,Q,1012.50,1025.00,1000.00,1005.00,1005.00,1043.00,32,645,650098.00,
523204,ABAN OFFSHO ,A ,Q,178.50,180.50,172.25,173.60,173.60,177.15,2199,183860,32338894.00,
523207,KOKUYOCMLN  ,B ,Q,128.10,129.25,123.20,124.55,124.55,127.55,247,12964,1627719.00,
523229,BHARAT SEATS,X ,Q,209.10,213.00,201.00,204.55,205.00,208.80,321,19173,3920623.00,
523232,CONT.PETRO  ,XT,Q,41.60,41.60,40.00,40.00,40.00,39.65,15,1004,40689.00,
523248,MACHINO PLAS,X ,Q,235.00,235.00,221.50,233.15,235.00,238.00,18,767,177331.00,
523260,PEARL POLYME,T ,Q,31.05,32.70,31.00,32.55,32.70,32.25,13,2145,67962.00,
523261,VENKEY'S (I),B ,Q,2821.85,2870.70,2760.00,2797.95,2797.95,2800.55,562,5124,14457779.00,
523269,ADVANI HOTEL,B ,Q,66.85,67.50,65.05,65.35,65.35,67.80,43,4331,287150.00,
523277,G.V.FILMS   ,X ,Q,0.82,0.90,0.75,0.80,0.80,0.81,82,92769,74192.00,
523283,SUPER HOUSE ,B ,Q,163.25,163.25,155.00,157.05,159.30,162.30,84,2594,411696.00,
523289,RAMA VISION ,XT,Q,18.90,18.90,18.90,18.90,18.90,18.90,21,40767,770496.00,
523301,TCPL PACK   ,B ,Q,660.40,669.70,626.55,653.35,665.00,649.55,61,1870,1212431.00,
523319,BALMER LAWRI,B ,Q,236.10,238.00,232.55,233.00,233.00,235.70,213,12275,2879633.00,
523323,KOVAI MEDI. ,XT,Q,1354.00,1354.00,1290.50,1349.35,1353.00,1289.75,287,10093,13508138.00,
523329,ELDECO HOUS.,X ,Q,2200.00,2240.00,2053.90,2053.90,2053.90,2162.00,42,403,832077.00,
523367,DCMSHRIRAM  ,B ,Q,545.00,547.95,524.40,527.95,529.50,541.75,630,16643,8908271.00,
523369,DCM SHR.IND ,X ,Q,260.85,260.85,251.05,256.20,256.95,261.50,124,12721,3266027.00,
523371,MAWANA SUGAR,B ,Q,64.90,64.90,60.80,61.65,61.65,64.60,468,64834,4059598.00,
523373,MINI DIAMOND,XT,Q,10.08,10.08,10.08,10.08,10.08,10.28,8,705,7106.00,
523384,MAH.RAS.APEX,T ,Q,180.00,185.50,167.90,174.35,181.00,176.70,189,39479,7029524.00,
523385,NILKAMAL L  ,A ,Q,1800.90,1813.15,1750.00,1752.00,1750.00,1779.75,239,2009,3558179.00,
523387,TRITON CORP.,ST,Q,0.36,0.37,0.36,0.37,0.37,0.36,2,1500,545.00,
523391,NAHAR POLY  ,B ,Q,67.40,67.70,63.00,63.95,63.80,67.50,69,9479,620607.00,
523395,3M INDIA LTD,B ,Q,20584.30,20739.45,19800.00,19920.65,20070.00,20401.65,245,385,7817274.00,
523398,JCHAC       ,B ,Q,2304.05,2340.90,2263.05,2293.05,2293.05,2314.35,50,173,397522.00,
523405,JM FINANCIAL,A ,Q,156.85,158.00,155.05,156.95,155.05,155.85,1353,183864,28876872.00,
523411,ADCINDIA    ,X ,Q,233.50,246.40,233.50,237.90,237.90,232.35,26,1848,441015.00,
523419,TAMIL.TELE. ,T ,Q,2.99,3.03,2.75,2.98,3.03,2.89,9,3320,9567.00,
523445,REL INDL INF,B ,Q,501.00,502.85,482.50,486.10,486.10,496.35,1822,84875,41682614.00,
523457,LINDEINDIA  ,A ,Q,503.45,504.90,488.95,498.35,498.35,508.60,159,4030,2003592.00,
523465,IND.BANK HSG,XT,Q,42.00,42.00,42.00,42.00,42.00,44.20,10,728,30576.00,
523467,JAIMATA GLAS,XT,Q,0.22,0.22,0.22,0.22,0.22,0.23,9,51501,11330.00,
523475,LOTUS CHOC  ,XT,Q,47.50,49.00,46.00,46.50,46.00,48.00,16,2636,124579.00,
523483,PACIFIC IND.,X ,Q,149.90,154.00,144.50,144.80,144.50,151.00,5,298,44353.00,
523489,CMM HOSPITAL,XT,Q,29.00,29.00,29.00,29.00,29.00,29.55,17,6386,185194.00,
523519,UNI OFF AUTO,XT,Q,2.95,3.25,2.95,3.25,3.25,3.10,6,12264,38811.00,
523523,RAINBOW PAP.,T ,Q,3.32,3.32,3.02,3.11,3.20,3.17,62,134639,407620.00,
523537,APM INDUS.  ,X ,Q,60.90,63.75,59.50,60.90,60.90,62.45,59,9339,575684.00,
523539,PRECISION WR,B ,Q,324.70,325.80,306.00,311.05,317.00,318.30,667,27258,8554914.00,
523550,KRYPTON IND ,XT,Q,12.44,12.44,11.26,11.51,11.51,11.85,16,3826,44077.00,
523566,MARTIN BURN ,X ,Q,42.00,42.95,41.00,42.50,42.50,44.00,32,12886,545465.00,
523574,FEL         ,B ,Q,44.00,44.60,42.95,43.35,43.60,43.10,813,269968,11745449.00,
523586,IND.TONERS  ,X ,Q,286.50,289.00,276.00,277.30,276.00,281.80,141,4408,1230118.00,
523592,JENSON &NICH,T ,Q,4.90,4.90,4.80,4.80,4.80,5.05,11,7000,33800.00,
523594,KUNSTSTOFFE ,XT,Q,37.75,37.90,34.50,37.90,37.90,36.10,54,8640,318144.00,
523598,SHIPP.CORPN ,A ,Q,81.60,82.60,79.30,80.25,80.25,81.10,864,99723,8051134.00,
523606,SIKA INTER. ,XT,Q,181.00,181.00,180.10,180.10,180.10,189.55,36,5146,927175.00,
